Country,Product Name,FNSKU,Merchant SKU,ASIN,Condition,Supplier,Supplier part no.,Currency code,Price,Sales last 30 days,Units Sold Last 30 Days,Total Units,Inbound,Available,FC transfer,FC Processing,Customer Order,Unfulfillable,Working,Shipped,Receiving,Fulfilled by,Total Days of Supply (including units from open shipments),Days of Supply at Amazon Fulfillment Network,Alert,Recommended replenishment qty,Recommended ship date,Unit storage size
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops,X001X55RUR,AN-113-Floral White-2XL-CD-DE,B0CPQ2C66S,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Light Blue-3XL£©",X001X51QO3,AN-4006-Light Blue-3XL-CD-DE,B0CPQ1NY7Y,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Black-L£©,X001X51LV1,AN-4006-Black-L-CD-DE,B0CPPZL7F3,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops,X001X57N31,AN-113-MM F Red-S-CD-DE,B0CPQ2C214,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Navy Blue-3XL£©,X001X51QKR,AN-4006-Navy Blue-3XL-CD-DE,B0CPQ19RXF,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,ANELUNE Women's Casual Dress Long Sleeve Round Neck Maxi Size Dress Gorgeous Loose Long Dresses with Pockets Black,X001XFXCO5,AN1004-Long sleeve Black-XXL,B0CPT4FJ1N,New,--,,GBP,36.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0659 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Royal Blue,X001X57HKZ,AN-113-Royal Blue-2XL-CD-DE,B0CPQ271N3,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Khaki-S£©,X001X55MRP,AN-4006-Khaki-S-CD-DE,B0CPQ2J9H4,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Wine Red,X001X57MFZ,AN-113-Wine Red-2XL-CD-DE,B0CPQ2NC8V,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Light Gray-S£©",X001X51QIT,AN-4006-Light Gray-S-CD-DE,B0CPPXD7MC,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
